Auto_Model,Base_Model,Min_h,Status,Note
AutoAutoformer,Not Found,-1,Skipped,Base model not found
AutoBiTCN,BiTCN,1,OK,Verified at h=1
AutoDLinear,DLinear,1,OK,Verified at h=1
AutoDeepAR,DeepAR,1,OK,Verified at h=1
AutoDeepNPTS,DeepNPTS,1,OK,Verified at h=1
AutoDilatedRNN,DilatedRNN,1,OK,Verified at h=1
AutoFEDformer,FEDformer,1,OK,Verified at h=1
AutoGRU,GRU,1,OK,Verified at h=1
AutoHINT,HINT,999,Failed,Error: HINT.__init__() got an unexpec...
AutoInformer,Informer,1,OK,Verified at h=1
AutoKAN,KAN,1,OK,Verified at h=1
AutoLSTM,LSTM,1,OK,Verified at h=1
AutoMLP,MLP,999,Failed,Error: MLP.__init__() got an unexpect...
AutoMLPMultivariate,MLPMultivariate,1,OK,Verified at h=1
AutoNBEATS,NBEATS,2,OK,Verified at h=2 (Seasonality)
AutoNBEATSx,NBEATSx,2,OK,Verified at h=2 (Seasonality)
AutoNHITS,NHITS,1,OK,Verified at h=1
AutoNLinear,NLinear,1,OK,Verified at h=1
AutoPatchTST,PatchTST,1,OK,Verified at h=1
AutoRMoK,RMoK,1,OK,Verified at h=1
AutoRNN,RNN,1,OK,Verified at h=1
AutoSOFTS,SOFTS,1,OK,Verified at h=1
AutoStemGNN,StemGNN,1,OK,Verified at h=1
AutoTCN,TCN,1,OK,Verified at h=1
AutoTFT,TFT,1,OK,Verified at h=1
AutoTSMixer,TSMixer,1,OK,Verified at h=1
AutoTSMixerx,TSMixerx,1,OK,Verified at h=1
AutoTiDE,TiDE,1,OK,Verified at h=1
AutoTimeMixer,TimeMixer,1,OK,Verified at h=1
AutoTimeXer,TimeXer,16,OK,Verified at h=16 (h >= patch_len)
AutoTimesNet,TimesNet,1,OK,Verified at h=1
AutoVanillaTransformer,VanillaTransformer,1,OK,Verified at h=1
AutoiTransformer,iTransformer,1,OK,Verified at h=1
AutoxLSTM,xLSTM,999,Failed,Error: Please install `xlstm`. You al...
